cell_or_epoch_id,claim_policy,completed_replicate_source_ids,completion_lane,conclusive_attempt_count,coverage_dimension,coverage_policy,endpoint_id,evidence_scope,exclusion_reason,measurement_label,nonfinal_physical_attempt_count,observed_attempt_count,physical_attempt_count,planned_attempt_count,predeclared_recovery_pass,probe_id,recovery_acceptance_reasons,retry_task_family_inferred_dimension,sampling_unit,scope_exclusion_id,scope_exclusion_schema_version,semantic_attempt_policy,semantic_final_request_id,soak_cell_id,source_id,source_kind,source_manifest_sha256,status,superseded_by_cell_id,superseded_by_request_id,superseded_by_source_id,supersedes_request_id,supersession_dimension_policy,supersession_policy,supersession_status,task_id,terminal_coverage_classification,workload
do-cell-9b7a39ddf3f7081265ab,,,,1,tool_calling,,minimax-m2.5,,,,,1,,1,,,,,,,,,,,do-direct-coverage-20260823,direct_breadth,,completed,,,,,,,,tool-public-tool-007,,tool_call_exact
do-cell-daf20f229a84b1c805b4,,,,1,tool_calling,,openai-gpt-oss-120b,,,,,1,,1,,,,,,,,,,,do-direct-coverage-20260823,direct_breadth,,completed,,,,,,,,tool-public-tool-007,,tool_call_exact
do-cell-adfec3b7cece7a35bd55,,,,0,tool_calling,,nvidia-nemotron-3-super-120b,,,,,1,,1,,,,,,,,,,,do-direct-coverage-20260823,direct_breadth,,inconclusive,,,,,,,,tool-public-tool-007,,tool_call_exact
do-cell-5d01675eab5e65c9b417,,,,1,tool_calling,,nemotron-3-ultra-550b,,,,,1,,1,,,,,,,,,,,do-direct-coverage-20260823,direct_breadth,,completed,,,,,,,,tool-public-tool-007,,tool_call_exact
do-cell-8cb4a0a7015a1bfffbe6,,,,1,tool_calling,,gemma-4-31B-it,,,,,1,,1,,,,,,,,,,,do-direct-coverage-20260823,direct_breadth,,completed,,,,,,,,tool-public-tool-007,,tool_call_exact
do-cell-614d61c7820586fe08cf,,,,1,tool_calling,,mimo-v2.5-pro,,,,,1,,1,,,,,,,,,,,do-direct-coverage-20260823,direct_breadth,,completed,,,,,,,,tool-public-tool-007,,tool_call_exact
do-cell-6373959c888cdf5af7e3,,,,0,tool_calling,,qwen3.5-397b-a17b,,,,,1,,1,,,,,,,,,,,do-direct-coverage-20260823,direct_breadth,,inconclusive,,,,,,,,tool-public-tool-007,,tool_call_exact
do-cell-072851094c845db61d06,,,,1,tool_calling,,qwen3.8-max,,,,,1,,1,,,,,,,,,,,do-direct-coverage-20260823,direct_breadth,,completed,,,,,,,,tool-public-tool-007,,tool_call_exact
do-cell-46dbb5c29f58ca37e2c2,,,,1,tool_calling,,kimi-k3,,,,,1,,1,,,,,,,,,,,do-direct-coverage-20260823,direct_breadth,,completed,,,,,,,,tool-public-tool-007,,tool_call_exact
do-cell-2e04b7f7fe54406ac646,,,,1,tool_calling,,glm-5.2,,,,,1,,1,,,,,,,,,,,do-direct-coverage-20260823,direct_breadth,,completed,,,,,,,,tool-public-tool-007,,tool_call_exact
